% Model:              oppgave4.mph
% Version:            COMSOL 6.2.0.278
% Date:               Apr 18 2024, 11:52
% Dimension:          1
% Nodes:              669
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, z-component
0                         -7.747572849873357E-7
6.9439114132029545        4.650736196923626E-6
13.455284638102171        9.74603792229726E-6
13.700420923754109        9.93510764531471E-6
13.89015716522033         1.0083548476185474E-5
14.085222498760459        1.0236391358826075E-5
14.354066590721914        1.0444132250343718E-5
20.838741126964237        1.5523671206557955E-5
26.919363234925072        2.0293974522126424E-5
27.4103469527721          2.067361014353867E-5
27.789667177908996        2.0971125461721405E-5
28.179633231237744        2.127745706514277E-5
28.718101166610154        2.169458316680369E-5
34.74293920611581         2.6522006734907582E-5
35.34217531619356         2.7126135365377565E-5
35.34217531619356         2.7238202821242713E-5
39.73934496063498         3.141769892976907E-5
40.92062992563763         3.254050662506241E-5
41.619568783726095        3.3204845841806436E-5
41.75343245986937         3.333208285078129E-5
42.49023226264717         3.403240877802072E-5
42.62392649094102         3.415948472734027E-5
44.003096202584175        3.547038126054472E-5
48.16468960354541         3.9425962880319886E-5
51.890496748242185        4.296733101517569E-5
53.46554336824556         4.446440794223337E-5
54.34693490369136         4.5302167862899736E-5
54.575946747221224        4.551984290985845E-5
55.51362262549071         4.6411100923803934E-5
55.73660545531652         4.662304541193699E-5
57.57549840417403         4.837090745620947E-5
60.987203890897035        5.161372293939704E-5
64.04164853584939         5.4971691874534795E-5
65.7731494710938          5.7175681949897926E-5
66.75293737128993         5.8273727513996965E-5
68.01859366606607         5.911883378309266E-5
68.01859366606607         5.9795754418103644E-5
68.32148680430419         5.94732846279142E-5
68.58963707292082         5.97870787594127E-5
68.58963707292082         5.81133200338225E-5
74.02711812872815         6.50864896809996E-5
75.83605566542928         6.740631906432989E-5
77.75514324057121         6.986740777285278E-5
81.21166232575467         7.430013934879965E-5
81.57242427722576         7.476279002547047E-5
81.84545986904402         7.511293809622702E-5
87.23329350948279         8.2022438583667E-5
87.85032564193546         8.281373692442289E-5
89.1177304257235          8.443909036994136E-5
95.10128266516733         9.211255615863156E-5
96.07371275571694         9.335962624895958E-5
96.47406780461267         9.38730521618779E-5
96.663036574221           9.411539071441224E-5
96.7114437783942          9.417746939448128E-5
98.7265821515416          9.676173618902682E-5
100.33184678971304        9.882037005564565E-5
100.75132518113355        9.935832024925168E-5
104.20834272271873        1.0379169105888309E-4
104.20834272271873        1.0366219825768102E-4
105.3649227773771         1.0532708795255692E-4
106.3758878857634         1.0678236585057375E-4
108.04233362808822        1.0918120398745122E-4
108.69358901326262        1.1011868200736189E-4
112.33006177055273        1.1535336160859138E-4
113.30146941318645        1.167516967841208E-4
115.73754063764761        1.202584059490017E-4
116.49197399666173        1.2104791040176927E-4
116.49197399666173        1.2134440801157769E-4
117.1525666615297         1.221187017715863E-4
122.24788795337031        1.3037799127919573E-4
122.24788795337031        1.2882521364877218E-4
125.56708522557471        1.350111479290892E-4
126.5052339298046         1.367595604980344E-4
127.67619374961652        1.3894185937822053E-4
131.41446114633317        1.459088078726629E-4
131.6742568264748         1.463929848804968E-4
131.72868094231944        1.4649441422508525E-4
134.5270221093482         1.517096374051311E-4
135.0269771820483         1.5264139558917548E-4
135.4313666959925         1.5339504978679008E-4
137.71523805492677        1.5765146390516005E-4
139.01255417655324        1.6006925098168624E-4
143.54872043429214        1.6852323068031628E-4
147.36460379812013        1.7563483079750922E-4
147.36460379812013        1.7419653370931006E-4
151.27941373566296        1.8227724950163003E-4
151.41454619186914        1.82556181810054E-4
152.48961800072738        1.8477528053574376E-4
156.63337368319498        1.9332857239845122E-4
156.99462418892392        1.940742440180701E-4
157.07111432143654        1.9423213036034783E-4
161.6730251135857         2.0373111851207094E-4
162.1814841959573         2.0478064924337561E-4
163.72731879015748        2.0797146826574393E-4
167.49198985004597        2.1574227639484174E-4
170.55194795347518        2.220584583205823E-4
172.94842220004534        2.2700511667669726E-4
174.43342670965296        2.3122079150038831E-4
175.13517339105908        2.3399299645979568E-4
175.93813726592884        2.3584870406339183E-4
180.48976650380672        2.4685330055581646E-4
185.13560412364245        2.5983245097389553E-4
186.01571222896212        2.621992588787281E-4
186.58835943067788        2.6373923551967573E-4
187.5150522520962         2.6623132016453645E-4
188.78420038372315        2.6964434387398965E-4
188.78420038372315        2.667414954376122E-4
189.20977498750403        2.679588924289038E-4
190.0232430309867         2.702858958258393E-4
191.80007741717105        2.753687010885287E-4
193.0024307068095         2.7880814804864167E-4
196.1905415475686         2.879280450325385E-4
197.76416563336716        2.924295477313732E-4
200.99489204157112        3.016713506352398E-4
203.9477987958603         3.101184237601373E-4
205.22987772930173        3.137859335746413E-4
205.4836892726296         3.145119858495123E-4
206.249176593742          3.167017357859862E-4
209.93698689703126        3.2725107103248076E-4
211.75849150685417        3.324616597563417E-4
214.26921391103485        3.3964382211674376E-4
215.89787105171752        3.443027521499221E-4
222.4751101564974         3.63117575746133E-4
222.4751101564974         3.6924864723987115E-4
223.09029536197           3.7041075136853044E-4
223.5009096291908         3.7117919663601755E-4
223.5881087519            3.665989511099835E-4
223.5881087519            3.714929832461109E-4
230.03458025985242        3.929198460817796E-4
233.794342100706          4.0827092556921634E-4
234.33719754180117        4.104874002767068E-4
238.42984579603467        4.2719765250124524E-4
243.39218881917054        4.474588619651916E-4
